iter	Passed	Remaining
215	6117	36367
216	6149	36357
217	6189	36396
218	6238	36489
219	6268	36469
220	6300	36464
221	6328	36430
222	6358	36411
223	6404	36481
224	6449	36544
225	6480	36529
226	6506	36489
227	6533	36449
228	6565	36440
229	6593	36406
230	6620	36370
231	6654	36369
232	6689	36374
233	6718	36350
234	6748	36325
235	6778	36305
236	6806	36272
237	6829	36213
238	6852	36154
239	6876	36101
240	6899	36044
241	6926	36004
242	6951	35956
243	6972	35890
244	6990	35808
245	7011	35741
246	7035	35689
247	7060	35643
248	7083	35589
249	7113	35567
250	7143	35545
251	7168	35500
252	7198	35481
253	7227	35453
254	7275	35519
255	7317	35556
256	7353	35565
257	7385	35554
258	7414	35525
259	7444	35506
260	7477	35498
261	7506	35471
262	7533	35431
263	7559	35392
264	7587	35360
265	7616	35335
266	7647	35316
267	7685	35329
268	7722	35340
269	7785	35465
270	7848	35593
271	7907	35698
272	7999	35954
273	8202	36699
274	8370	37288
275	8415	37322
276	8460	37352
277	8518	37442
278	8614	37700
279	8646	37672
280	8694	37717
281	8736	37736
282	8783	37770
283	8829	37806
284	8865	37794
285	8900	37780
286	8935	37764
287	8970	37750
288	9015	37777
289	9057	37791
290	9095	37786
291	9130	37772
292	9162	37744
293	9200	37738
294	9231	37709
295	9263	37677
296	9290	37629
297	9321	37598
298	9351	37561
299	9384	37537
300	9427	37551
301	9455	37509
302	9489	37489
303	9520	37455
304	9552	37427
305	9582	37389
306	9611	37351
307	9644	37327
308	9677	37301
309	9703	37247
310	9727	37190
311	9753	37136
312	9782	37097
313	9810	37055
314	9838	37012
315	9864	36961
316	9894	36926
317	9919	36871
318	9945	36820
319	9974	36780
320	10000	36730
321	10025	36678
322	10053	36636
323	10077	36577
324	10100	36517
325	10130	36481
326	10156	36432
327	10181	36378
328	10213	36353
329	10242	36312
330	10269	36270
331	10299	36232
332	10328	36196
333	10359	36164
334	10390	36133
335	10421	36102
336	10445	36048
337	10475	36012
338	10502	35970
339	10548	35990
340	10576	35948
341	10605	35910
342	10661	35964
343	10732	36065
344	10801	36160
345	10861	36225
346	10907	36243
347	10944	36228
348	10972	36186
349	10998	36138
350	11024	36089
351	11054	36051
352	11082	36009
353	11107	35959
354	11149	35962
355	11185	35944
356	11220	35923
357	11247	35877
358	11276	35838
359	11299	35782
360	11328	35743
361	11354	35693
362	11380	35645
363	11406	35598
364	11437	35567
365	11468	35534
366	11493	35483
367	11519	35435
368	11542	35377
369	11563	35317
370	11588	35264
371	11613	35214
372	11640	35171
373	11666	35125
374	11691	35075
375	11713	35015
376	11739	34968
377	11764	34919
378	11788	34868
379	11813	34819
380	11836	34765
381	11861	34714
382	11883	34658
383	11907	34604
384	11929	34548
385	11954	34499
386	11977	34447
387	12001	34394
388	12023	34340
389	12044	34281
390	12067	34226
391	12088	34167
392	12110	34112
393	12132	34056
394	12153	33999
395	12175	33944
396	12199	33893
397	12223	33843
398	12247	33796
399	12272	33749
400	12296	33700
401	12316	33639
402	12336	33581
403	12357	33523
404	12379	33470
405	12403	33420
406	12426	33371
407	12447	33314
408	12473	33271
409	12496	33222
410	12519	33172
411	12539	33114
412	12562	33063
413	12584	33011
414	12605	32956
415	12627	32903
416	12652	32860
417	12679	32821
418	12700	32767
419	12724	32719
420	12745	32666
421	12767	32614
422	12789	32562
423	12810	32509
424	12831	32456
425	12853	32404
426	12876	32357
427	12896	32301
428	12919	32254
429	12941	32202
430	12962	32149
431	12985	32103
432	13010	32061
433	13031	32008
434	13053	31959
435	13078	31915
436	13101	31869
437	13122	31818
438	13144	31767
439	13166	31718
440	13189	31672
441	13211	31624
442	13235	31579
443	13258	31533
444	13280	31485
445	13302	31436
446	13323	31386
447	13345	31338
448	13367	31290
449	13388	31240
450	13411	31193
451	13434	31150
452	13465	31122
453	13485	31070
454	13511	31032
455	13535	30989
456	13559	30945
457	13579	30895
458	13601	30848
459	13627	30809
460	13656	30778
461	13684	30745
462	13712	30713
463	13733	30662
464	13755	30616
465	13778	30572
466	13801	30529
467	13821	30478
468	13842	30430
469	13868	30393
470	13894	30356
471	13915	30307
472	13937	30262
473	13959	30216
474	13980	30169
475	14001	30121
476	14022	30073
477	14048	30036
478	14070	29990
479	14090	29941
480	14109	29891
481	14132	29847
482	14154	29804
483	14180	29767
484	14201	29720
485	14222	29673
486	14242	29626
487	14265	29583
488	14287	29539
489	14311	29498
490	14332	29453
491	14355	29410
492	14377	29366
493	14400	29325
494	14421	29280
495	14444	29239
496	14466	29195
497	14486	29147
498	14510	29107
499	14533	29066
500	14555	29024
501	14576	28979
502	14598	28936
503	14621	28894
504	14646	28858
505	14670	28818
506	14692	28777
507	14714	28733
508	14737	28692
509	14758	28648
510	14781	28608
511	14805	28569
512	14827	28528
513	14850	28486
514	14873	28448
515	14895	28404
516	14915	28359
517	14937	28318
518	14959	28275
519	14981	28235
520	15005	28197
521	15026	28153
522	15053	28120
523	15077	28084
524	15098	28040
525	15122	28003
526	15145	27963
527	15166	27919
528	15191	27884
529	15215	27847
530	15237	27807
531	15258	27764
532	15281	27725
533	15303	27684
534	15326	27644
535	15347	27602
536	15370	27563
537	15394	27527
538	15416	27486
539	15442	27453
540	15468	27419
541	15490	27380
542	15514	27342
543	15537	27304
544	15562	27270
545	15589	27238
546	15610	27197
547	15632	27156
548	15654	27117
549	15679	27083
550	15706	27052
551	15731	27016
552	15753	26977
553	15774	26936
554	15795	26895
555	15818	26857
556	15841	26820
557	15865	26783
558	15886	26743
559	15913	26711
560	15939	26679
561	15963	26644
562	15991	26613
563	16022	26590
564	16053	26566
565	16080	26536
566	16109	26508
567	16136	26477
568	16159	26440
569	16187	26410
570	16211	26375
571	16234	26339
572	16255	26298
573	16282	26267
574	16306	26232
575	16328	26193
576	16351	26156
577	16373	26118
578	16396	26081
579	16421	26048
580	16444	26011
581	16468	25975
582	16491	25939
583	16513	25901
584	16536	25864
585	16560	25829
586	16581	25789
587	16604	25754
588	16632	25724
589	16654	25687
590	16678	25652
591	16702	25618
592	16725	25581
593	16748	25545
594	16769	25506
595	16793	25472
596	16820	25441
597	16844	25408
598	16867	25372
599	16889	25334
600	16912	25297
601	16934	25261
602	16958	25227
603	16982	25192
604	17007	25160
605	17029	25122
606	17050	25083
607	17074	25050
608	17096	25012
609	17122	24981
610	17149	24952
611	17173	24918
612	17199	24887
613	17222	24851
614	17243	24813
615	17266	24777
616	17287	24740
617	17311	24707
618	17335	24673
619	17360	24640
620	17384	24607
621	17405	24568
622	17425	24530
623	17449	24496
624	17474	24464
625	17498	24431
626	17521	24396
627	17544	24360
628	17567	24326
629	17589	24290
630	17612	24255
631	17637	24223
632	17660	24188
633	17684	24155
634	17707	24120
635	17730	24086
636	17751	24049
637	17773	24013
638	17793	23975
639	17822	23948
640	17844	23913
641	17869	23881
642	17895	23851
643	17915	23812
644	17939	23780
645	17964	23749
646	17985	23712
647	18010	23680
648	18031	23644
649	18054	23609
650	18088	23589
651	18109	23553
652	18130	23516
653	18155	23485
654	18186	23461
655	18212	23431
656	18233	23396
657	18259	23365
658	18283	23332
659	18304	23296
660	18328	23264
661	18352	23231
662	18376	23198
663	18401	23168
664	18425	23135
665	18445	23098
666	18467	23063
667	18491	23031
668	18513	22996
669	18537	22964
670	18560	22931
671	18584	22898
672	18609	22867
673	18631	22833
674	18655	22801
675	18685	22776
676	18710	22745
677	18732	22710
678	18755	22677
679	18779	22645
680	18805	22616
681	18829	22584
682	18856	22556
683	18881	22525
684	18905	22493
685	18928	22460
686	18953	22429
687	18978	22399
688	19003	22368
689	19025	22334
690	19053	22307
691	19080	22278
692	19110	22253
693	19136	22224
694	19160	22193
695	19188	22165
696	19212	22134
697	19239	22105
698	19265	22077
699	19289	22045
700	19316	22017
701	19336	21981
702	19357	21945
703	19380	21913
704	19404	21882
705	19425	21847
706	19449	21814
707	19468	21778
708	19490	21745
709	19515	21714
710	19544	21688
711	19576	21665
712	19608	21643
713	19635	21615
714	19664	21589
715	19690	21560
716	19717	21532
717	19745	21505
718	19768	21472
719	19810	21461
720	19839	21435
721	19871	21412
722	19903	21390
723	19936	21367
724	19971	21348
725	20001	21323
726	20031	21298
727	20065	21278
728	20095	21252
729	20130	21234
730	20164	21213
731	20190	21182
732	20216	21154
733	20247	21129
734	20275	21102
735	20303	21076
736	20330	21048
737	20357	21019
738	20384	20990
739	20408	20960
740	20434	20931
741	20465	20906
742	20497	20883
743	20522	20853
744	20551	20827
745	20579	20800
746	20609	20775
747	20638	20748
748	20669	20725
749	20700	20700
750	20730	20675
751	20754	20644
752	20784	20619
753	20811	20590
754	20837	20561
755	20867	20535
756	20894	20507
757	20922	20480
758	20946	20450
759	20980	20428
760	21011	20403
761	21039	20376
762	21067	20349
763	21097	20324
764	21127	20299
765	21154	20271
766	21183	20244
767	21216	20221
768	21243	20193
769	21273	20168
770	21301	20141
771	21332	20116
772	21363	20092
773	21395	20068
774	21424	20042
775	21453	20015
776	21482	19989
777	21507	19959
778	21534	19931
779	21563	19904
780	21593	19879
781	21620	19851
782	21650	19825
783	21679	19799
784	21709	19773
785	21740	19748
786	21772	19724
787	21799	19697
788	21826	19668
789	21854	19641
790	21881	19613
791	21910	19586
792	21936	19557
793	21959	19525
794	21985	19496
795	22011	19467
796	22038	19438
797	22064	19410
798	22094	19384
799	22119	19354
800	22144	19325
801	22175	19299
802	22203	19272
803	22228	19242
804	22257	19215
805	22287	19190
806	22315	19163
807	22341	19134
808	22368	19105
809	22395	19077
810	22421	19048
811	22451	19022
812	22478	18994
813	22503	18964
814	22529	18935
815	22560	18911
816	22588	18883
817	22615	18855
818	22644	18828
819	22671	18801
820	22699	18773
821	22724	18743
822	22749	18713
823	22777	18686
824	22805	18659
825	22834	18632
826	22863	18605
827	22890	18578
828	22919	18551
829	22947	18523
830	22979	18499
831	23006	18471
832	23033	18443
833	23060	18415
834	23088	18387
835	23116	18360
836	23140	18329
837	23170	18304
838	23201	18278
839	23225	18248
840	23252	18220
841	23285	18197
842	23318	18173
843	23347	18146
844	23376	18120
845	23406	18094
846	23433	18066
847	23462	18039
848	23492	18013
849	23521	17986
850	23546	17957
851	23578	17932
852	23605	17904
853	23633	17877
854	23660	17849
855	23689	17822
856	23717	17794
857	23745	17767
858	23771	17738
859	23799	17711
860	23831	17686
861	23857	17657
862	23885	17630
863	23913	17603
864	23942	17576
865	23970	17548
866	23997	17520
867	24026	17493
868	24056	17467
869	24084	17440
870	24109	17410
871	24136	17382
872	24166	17356
873	24198	17332
874	24226	17304
875	24251	17274
876	24278	17246
877	24305	17218
878	24333	17191
879	24366	17167
880	24393	17139
881	24424	17113
882	24452	17086
883	24478	17057
884	24504	17028
885	24531	17000
886	24563	16975
887	24594	16950
888	24622	16922
889	24649	16894
890	24675	16865
891	24701	16836
892	24726	16807
893	24752	16778
894	24777	16749
895	24802	16719
896	24829	16691
897	24856	16663
898	24886	16637
899	24913	16608
900	24943	16583
901	24972	16555
902	25001	16529
903	25034	16505
904	25069	16481
905	25104	16459
906	25138	16435
907	25170	16410
908	25203	16386
909	25252	16372
910	25288	16350
911	25321	16325
912	25361	16306
913	25419	16297
914	25461	16278
915	25498	16256
916	25535	16234
917	25569	16211
918	25606	16188
919	25644	16167
920	25686	16148
921	25732	16131
922	25780	16115
923	25831	16103
924	25867	16079
925	25902	16056
926	25940	16034
927	25969	16006
928	25998	15979
929	26027	15952
930	26058	15926
931	26088	15899
932	26127	15877
933	26162	15854
934	26193	15828
935	26224	15801
936	26255	15775
937	26287	15750
938	26319	15724
939	26350	15698
940	26402	15684
941	26434	15658
942	26478	15640
943	26512	15615
944	26552	15594
945	26588	15571
946	26621	15545
947	26655	15521
948	26693	15498
949	26725	15472
950	26757	15447
951	26789	15420
952	26822	15395
953	26858	15372
954	26896	15349
955	26927	15322
956	26973	15304
957	27009	15280
958	27047	15258
959	27093	15240
960	27137	15220
961	27177	15199
962	27219	15178
963	27255	15154
964	27286	15127
965	27318	15101
966	27353	15077
967	27389	15053
968	27422	15027
969	27464	15006
970	27517	14991
971	27553	14967
972	27590	14943
973	27637	14925
974	27671	14900
975	27705	14874
976	27743	14851
977	27782	14828
978	27817	14803
979	27852	14778
980	27890	14755
981	27923	14729
982	27951	14700
983	27981	14673
984	28009	14644
985	28040	14617
986	28068	14588
987	28095	14559
988	28123	14530
989	28149	14501
990	28181	14474
991	28207	14444
992	28234	14415
993	28264	14387
994	28293	14359
995	28321	14331
996	28348	14302
997	28377	14274
998	28405	14245
999	28432	14216
1000	28460	14187
1001	28487	14158
1002	28513	14128
1003	28543	14101
1004	28577	14075
1005	28606	14047
1006	28634	14018
1007	28661	13989
1008	28693	13963
1009	28721	13934
1010	28753	13907
1011	28780	13878
1012	28807	13849
1013	28833	13819
1014	28860	13790
1015	28888	13761
1016	28916	13733
1017	28944	13704
1018	28972	13675
1019	28999	13646
1020	29025	13617
1021	29052	13588
1022	29082	13560
1023	29110	13531
1024	29136	13502
1025	29164	13473
1026	29190	13444
1027	29218	13415
1028	29245	13386
1029	29274	13358
1030	29301	13329
1031	29328	13299
1032	29354	13270
1033	29382	13242
1034	29410	13213
1035	29438	13184
1036	29467	13156
1037	29494	13127
1038	29522	13098
1039	29549	13070
1040	29577	13041
1041	29610	13015
1042	29638	12986
1043	29665	12957
1044	29693	12928
1045	29719	12899
1046	29746	12870
1047	29773	12841
1048	29800	12812
1049	29829	12784
1050	29856	12754
1051	29882	12725
1052	29911	12697
1053	29937	12668
1054	29965	12639
1055	29992	12610
1056	30022	12582
1057	30048	12553
1058	30076	12524
1059	30105	12496
1060	30138	12470
1061	30170	12443
1062	30200	12415
1063	30227	12386
1064	30253	12357
1065	30278	12327
1066	30306	12298
1067	30335	12270
1068	30362	12241
1069	30390	12212
1070	30422	12185
1071	30447	12156
1072	30477	12128
1073	30502	12098
1074	30527	12069
1075	30556	12040
1076	30589	12014
1077	30621	11987
1078	30654	11960
1079	30694	11936
1080	30722	11908
1081	30749	11879
1082	30778	11850
1083	30806	11822
1084	30836	11794
1085	30868	11767
1086	30900	11740
1087	30939	11716
1088	30981	11692
1089	31021	11668
1090	31073	11648
1091	31125	11629
1092	31164	11604
1093	31209	11582
1094	31247	11557
1095	31295	11535
1096	31337	11512
1097	31377	11487
1098	31413	11462
1099	31445	11434
1100	31479	11408
1101	31514	11381
1102	31553	11357
1103	31594	11332
1104	31633	11307
1105	31675	11283
1106	31720	11261
1107	31767	11239
1108	31803	11212
1109	31837	11186
1110	31869	11158
1111	31907	11133
1112	31939	11105
1113	31964	11075
1114	31988	11045
1115	32013	11015
1116	32041	10986
1117	32067	10956
1118	32092	10926
1119	32128	10900
1120	32154	10871
1121	32184	10842
1122	32216	10815
1123	32243	10785
1124	32273	10757
1125	32304	10729
1126	32334	10701
1127	32368	10674
1128	32395	10645
1129	32419	10615
1130	32446	10585
1131	32473	10556
1132	32499	10527
1133	32523	10497
1134	32550	10467
1135	32576	10438
1136	32608	10410
1137	32633	10380
1138	32658	10350
1139	32683	10321
1140	32712	10292
1141	32739	10263
1142	32766	10234
1143	32796	10206
1144	32822	10176
1145	32850	10147
1146	32881	10119
1147	32912	10091
1148	32938	10062
1149	32965	10032
1150	32993	10004
1151	33019	9974
1152	33044	9944
1153	33078	9917
1154	33107	9889
1155	33140	9861
1156	33166	9832
1157	33194	9803
1158	33217	9773
1159	33241	9743
1160	33262	9712
1161	33285	9681
1162	33306	9651
1163	33332	9621
1164	33356	9591
1165	33381	9562
1166	33404	9531
1167	33425	9501
1168	33446	9470
1169	33468	9439
1170	33489	9409
1171	33513	9379
1172	33534	9348
1173	33555	9317
1174	33580	9288
1175	33605	9258
1176	33626	9228
1177	33648	9197
1178	33669	9167
1179	33693	9137
1180	33718	9107
1181	33744	9078
1182	33766	9048
1183	33787	9017
1184	33809	8987
1185	33832	8957
1186	33853	8926
1187	33875	8896
1188	33898	8866
1189	33921	8836
1190	33943	8806
1191	33968	8776
1192	33988	8746
1193	34013	8716
1194	34034	8686
1195	34057	8656
1196	34078	8626
1197	34099	8596
1198	34121	8565
1199	34143	8535
1200	34163	8505
1201	34187	8475
1202	34213	8446
1203	34235	8416
1204	34259	8387
1205	34280	8356
1206	34293	8324
1207	34314	8294
1208	34340	8265
1209	34361	8235
1210	34382	8205
1211	34403	8175
1212	34424	8144
1213	34447	8115
1214	34470	8085
1215	34493	8056
1216	34518	8026
1217	34539	7996
1218	34561	7966
1219	34582	7937
1220	34606	7907
1221	34618	7875
1222	34639	7845
1223	34661	7815
1224	34681	7785
1225	34701	7755
1226	34722	7725
1227	34746	7696
1228	34767	7666
1229	34792	7637
1230	34811	7607
1231	34830	7576
1232	34850	7546
1233	34871	7516
1234	34891	7486
1235	34912	7456
1236	34933	7427
1237	34958	7398
1238	34980	7368
1239	35004	7339
1240	35028	7310
1241	35051	7281
1242	35072	7251
1243	35093	7221
1244	35115	7192
1245	35137	7162
1246	35158	7133
1247	35180	7103
1248	35200	7073
1249	35224	7044
1250	35246	7015
1251	35268	6986
1252	35291	6956
1253	35316	6928
1254	35340	6899
1255	35362	6869
1256	35387	6840
1257	35410	6811
1258	35434	6782
1259	35458	6753
1260	35484	6725
1261	35508	6696
1262	35529	6667
1263	35552	6638
1264	35574	6608
1265	35595	6579
1266	35619	6550
1267	35639	6520
1268	35662	6491
1269	35684	6462
1270	35707	6433
1271	35729	6404
1272	35747	6374
1273	35770	6345
1274	35794	6316
1275	35817	6287
1276	35840	6258
1277	35861	6229
1278	35882	6200
1279	35902	6170
1280	35922	6141
1281	35943	6112
1282	35965	6083
1283	35985	6053
1284	36009	6024
1285	36031	5995
1286	36053	5966
1287	36074	5937
1288	36096	5908
1289	36116	5879
1290	36136	5850
1291	36159	5821
1292	36181	5792
1293	36203	5763
1294	36227	5734
1295	36249	5705
1296	36270	5676
1297	36295	5648
1298	36322	5620
1299	36344	5591
1300	36365	5562
1301	36385	5533
1302	36409	5504
1303	36428	5475
1304	36450	5446
1305	36471	5417
1306	36492	5388
1307	36512	5359
1308	36533	5330
1309	36554	5301
1310	36577	5273
1311	36599	5244
1312	36622	5215
1313	36644	5187
1314	36667	5158
1315	36690	5129
1316	36714	5101
1317	36736	5072
1318	36757	5044
1319	36780	5015
1320	36805	4987
1321	36826	4958
1322	36854	4930
1323	36877	4902
1324	36898	4873
1325	36919	4844
1326	36940	4815
1327	36964	4787
1328	36986	4759
1329	37008	4730
1330	37030	4701
1331	37051	4673
1332	37075	4644
1333	37098	4616
1334	37119	4587
1335	37141	4559
1336	37164	4530
1337	37187	4502
1338	37211	4474
1339	37236	4446
1340	37257	4417
1341	37279	4389
1342	37304	4361
1343	37326	4332
1344	37349	4304
1345	37373	4275
1346	37397	4247
1347	37419	4219
1348	37441	4190
1349	37462	4162
1350	37484	4134
1351	37506	4105
1352	37529	4077
1353	37551	4049
1354	37571	4020
1355	37594	3992
1356	37617	3964
1357	37640	3935
1358	37660	3907
1359	37679	3878
1360	37702	3850
1361	37724	3822
1362	37748	3794
1363	37775	3766
1364	37797	3738
1365	37816	3709
1366	37839	3681
1367	37862	3653
1368	37886	3625
1369	37910	3597
1370	37933	3569
1371	37954	3540
1372	37975	3512
1373	37998	3484
1374	38017	3456
1375	38039	3427
1376	38062	3399
1377	38081	3371
1378	38104	3343
1379	38126	3315
1380	38147	3287
1381	38173	3259
1382	38192	3231
1383	38214	3202
1384	38235	3174
1385	38257	3146
1386	38279	3118
1387	38302	3090
1388	38325	3062
1389	38349	3034
1390	38372	3006
1391	38394	2978
1392	38413	2950
1393	38433	2922
1394	38454	2894
1395	38476	2866
1396	38498	2838
1397	38522	2810
1398	38545	2782
1399	38566	2754
1400	38589	2726
1401	38610	2698
1402	38633	2671
1403	38656	2643
1404	38678	2615
1405	38702	2587
1406	38724	2559
1407	38748	2531
1408	38775	2504
1409	38797	2476
1410	38820	2448
1411	38841	2420
1412	38862	2392
1413	38886	2365
1414	38907	2337
1415	38930	2309
1416	38955	2281
1417	38977	2254
1418	38998	2226
1419	39022	2198
1420	39043	2170
1421	39066	2142
1422	39087	2115
1423	39109	2087
1424	39130	2059
1425	39152	2031
1426	39171	2003
1427	39194	1976
1428	39216	1948
1429	39239	1920
1430	39265	1893
1431	39288	1865
1432	39308	1837
1433	39329	1810
1434	39349	1782
1435	39372	1754
1436	39393	1727
1437	39417	1699
1438	39438	1671
1439	39461	1644
1440	39485	1616
1441	39506	1589
1442	39528	1561
1443	39552	1533
1444	39572	1506
1445	39594	1478
1446	39616	1451
1447	39636	1423
1448	39656	1395
1449	39678	1368
1450	39700	1340
1451	39721	1313
1452	39742	1285
1453	39766	1258
1454	39779	1230
1455	39802	1202
1456	39820	1175
1457	39842	1147
1458	39864	1120
1459	39884	1092
1460	39906	1065
1461	39931	1037
1462	39952	1010
1463	39975	983
1464	39997	955
1465	40018	928
1466	40038	900
1467	40060	873
1468	40081	845
1469	40102	818
1470	40124	791
1471	40149	763
1472	40170	736
1473	40194	708
1474	40214	681
1475	40236	654
1476	40258	626
1477	40282	599
1478	40304	572
1479	40327	544
1480	40349	517
1481	40372	490
1482	40395	463
1483	40417	435
1484	40442	408
1485	40461	381
1486	40485	353
1487	40508	326
1488	40530	299
1489	40552	272
1490	40576	244
1491	40599	217
1492	40619	190
1493	40640	163
1494	40663	135
1495	40685	108
1496	40708	81
1497	40728	54
1498	40750	27
1499	40772	0
