iter	RMSE
147	593.4380472
148	592.9956842
149	592.5290125
150	592.0848587
151	591.6262288
152	591.2440809
153	590.834719
154	590.3938858
155	590.026057
156	589.650825
157	589.2577352
158	588.872169
159	588.4882637
160	588.1543457
161	587.851874
162	587.5222937
163	587.2353356
164	586.9187751
165	586.623597
166	586.304952
167	586.0528068
168	585.7058429
169	585.4440257
170	585.1226024
171	584.8761345
172	584.649518
173	584.4158948
174	584.1832166
175	583.9929006
176	583.7762477
177	583.5491109
178	583.2941363
179	583.1029158
180	582.8890752
181	582.6929755
182	582.4966327
183	582.3095799
184	582.1425835
185	581.9777766
186	581.6931197
187	581.5146638
188	581.3800172
189	581.1347783
190	580.876249
191	580.6915958
192	580.4881714
193	580.2924824
194	580.1686285
195	579.9905975
196	579.8485893
197	579.6720019
198	579.501674
199	579.3586639
200	579.1710789
201	579.04138
202	578.860744
203	578.6971625
204	578.5440351
205	578.4129836
206	578.2307271
207	578.0550454
208	577.8772881
209	577.73564
210	577.6090281
211	577.4573836
212	577.3225249
213	577.2129948
214	577.0653458
215	576.9444345
216	576.8139716
217	576.7337031
218	576.6257133
219	576.5489026
220	576.3986156
221	576.3027964
222	576.230029
223	576.0734067
224	576.0019627
225	575.8388585
226	575.7439843
227	575.6301555
228	575.4442026
229	575.3052963
230	575.2075767
231	575.0670619
232	574.9501468
233	574.875774
234	574.7267191
235	574.6078457
236	574.4817048
237	574.3983031
238	574.334508
239	574.252898
240	574.1356944
241	574.0587625
242	573.9350417
243	573.8686413
244	573.7996024
245	573.6744826
246	573.5895122
247	573.4689637
248	573.3290588
249	573.253068
250	573.168378
251	573.0988869
252	573.0151121
253	572.946756
254	572.8018438
255	572.6968784
256	572.6140031
257	572.5496098
258	572.4608052
259	572.3870464
260	572.3209386
261	572.2531093
262	572.1714273
263	572.1037185
264	572.0376444
265	571.9300497
266	571.8316871
267	571.7254995
268	571.6192792
269	571.54501
270	571.454618
271	571.3665419
272	571.2929668
273	571.2060197
274	571.1359268
275	571.074255
276	570.9562592
277	570.8911921
278	570.852805
279	570.7646858
280	570.6988056
281	570.6358783
282	570.5936103
283	570.5173173
284	570.3883128
285	570.2919388
286	570.2144947
287	570.1331374
288	570.0674297
289	569.9473599
290	569.9118411
291	569.8227879
292	569.7610674
293	569.6650082
294	569.5732137
295	569.5129668
296	569.4469022
297	569.3941231
298	569.3351435
299	569.2751356
300	569.2188436
301	569.1315851
302	569.0843009
303	568.9750071
304	568.937728
305	568.8606982
306	568.7999562
307	568.7015069
308	568.5970457
309	568.5113461
310	568.4686312
311	568.3646783
312	568.314151
313	568.2184273
314	568.1543324
315	568.0984079
316	568.0511247
317	567.9898999
318	567.9571484
319	567.8951109
320	567.8487143
321	567.757418
322	567.7110101
323	567.6423215
324	567.5941029
325	567.5468657
326	567.4615936
327	567.3944196
328	567.341258
329	567.2914082
330	567.2061294
331	567.1370961
332	567.0709292
333	567.0228614
334	566.9598611
335	566.8868478
336	566.8149592
337	566.7318181
338	566.6528308
339	566.5779506
340	566.4890947
341	566.4536149
342	566.4090069
343	566.3332407
344	566.266537
345	566.1522114
346	566.0721326
347	565.9977027
348	565.9238596
349	565.879886
350	565.8137561
351	565.7207961
352	565.6644859
353	565.5975538
354	565.5590406
355	565.5240185
356	565.4797333
357	565.4223807
358	565.3633655
359	565.3035744
360	565.2778041
361	565.2359975
362	565.1843731
363	565.1276913
364	565.0872159
365	565.0481627
366	564.9668849
367	564.8916923
368	564.8355748
369	564.7838994
370	564.7201946
371	564.6522092
372	564.6203805
373	564.569284
374	564.5268367
375	564.5018382
376	564.4370256
377	564.377075
378	564.2755755
379	564.2003424
380	564.1494286
381	564.1063362
382	564.0613284
383	564.0060772
384	563.9565831
385	563.8866086
386	563.8230792
387	563.7786746
388	563.7165712
389	563.6750456
390	563.6010401
391	563.5457718
392	563.5033416
393	563.449937
394	563.3865084
395	563.3158183
396	563.251483
397	563.1843829
398	563.0862878
399	563.0339649
400	562.9613433
401	562.9209827
402	562.8937031
403	562.8564785
404	562.7861924
405	562.7193641
406	562.6775021
407	562.5742816
408	562.5384591
409	562.52266
410	562.4224013
411	562.3946413
412	562.3476634
413	562.3046162
414	562.2546067
415	562.2205127
416	562.1709083
417	562.1381753
418	562.0700964
419	562.0102234
420	561.9621918
421	561.9005265
422	561.8021937
423	561.7669006
424	561.6986248
425	561.6545357
426	561.5981892
427	561.5816528
428	561.5167155
429	561.4705305
430	561.41882
431	561.3689558
432	561.3196321
433	561.256334
434	561.194699
435	561.1264261
436	561.0574667
437	561.0106403
438	560.9165363
439	560.8557719
440	560.8196065
441	560.7610179
442	560.6658339
443	560.5952704
444	560.5608874
445	560.4553703
446	560.4071442
447	560.3480826
448	560.2837938
449	560.1876817
450	560.1259059
451	560.0968224
452	560.0495162
453	560.01893
454	559.9547106
455	559.8956947
456	559.8720833
457	559.811321
458	559.737267
459	559.7171389
460	559.6980891
461	559.6366091
462	559.5606235
463	559.5246795
464	559.4825036
465	559.4367678
466	559.3841759
467	559.3458997
468	559.3057247
469	559.2353951
470	559.1873159
471	559.1392746
472	559.0885124
473	559.0696388
474	559.0400817
475	559.0112984
476	558.9753142
477	558.9404425
478	558.9068508
479	558.8809347
480	558.8260462
481	558.7630974
482	558.6974776
483	558.6570422
484	558.6259549
485	558.5680233
486	558.542219
487	558.4555713
488	558.3725841
489	558.3160745
490	558.2630801
491	558.1990389
492	558.1442918
493	558.0899192
494	558.0421485
495	557.9450259
496	557.867404
497	557.8488933
498	557.7867008
499	557.7334998
500	557.7218451
501	557.7016173
502	557.6415679
503	557.593524
504	557.5523787
505	557.5192017
506	557.4680161
507	557.4047271
508	557.3632142
509	557.3219239
510	557.2603554
511	557.240988
512	557.2235838
513	557.1865928
514	557.1405172
515	557.1225198
516	557.0694839
517	557.0186978
518	557.0023767
519	556.9573453
520	556.8521268
521	556.8226792
522	556.7743769
523	556.719611
524	556.6710753
525	556.6182206
526	556.5800944
527	556.5597053
528	556.5055795
529	556.4058791
530	556.3687127
531	556.3258363
532	556.2763897
533	556.2681287
534	556.2164154
535	556.1671229
536	556.1265673
537	556.0431513
538	556.0345605
539	555.9814912
540	555.9340765
541	555.8889646
542	555.8720456
543	555.7895621
544	555.735217
545	555.6584124
546	555.6203817
547	555.6094646
548	555.6001964
549	555.552252
550	555.5036226
551	555.4519421
552	555.4357217
553	555.3852671
554	555.3800652
555	555.3229824
556	555.2654087
557	555.1974694
558	555.1308755
559	555.0826082
560	555.0276213
561	555.0172026
562	554.974522
563	554.9240316
564	554.8765893
565	554.7986066
566	554.7153106
567	554.6696709
568	554.6648492
569	554.5482578
570	554.4986285
571	554.4348029
572	554.4099919
573	554.3720385
574	554.2816958
575	554.2384512
576	554.1986475
577	554.1527938
578	554.1111929
579	554.0697849
580	554.0297178
581	553.9881562
582	553.9482957
583	553.9163871
584	553.8700264
585	553.8367204
586	553.7900156
587	553.7771732
